,id,name,id_opp,name_opp,event_id,event_name,elo,elo_opp,height_diff,reach_diff,ss_min_diff,str_acc_diff,str_a_min_diff,str_def_diff,td_avg_diff,td_acc_diff,td_def_diff,sub_avg_diff,wins_diff,losses_diff,momentum_diff,wl_diff_diff,outcome
13,429e7d3725852ce9,Royce Gracie,63b65af1c5cb02cb,Ken Shamrock,dedc3bb440d09554,UFC 5: The Return of the Beast,813.8368417,798.6362096,0,3,-0.59,-5,-3.17,-2,-0.94,-60,22,-1.7,5,-7,5,12,L
14,63b65af1c5cb02cb,Ken Shamrock,08ae5cd9aef7ddd3,Kimo Leopoldo,b63e800c18e011b5,UFC 8: David vs Goliath,815.3357782,813.8368417,-2,-3,0.71,-37,2.18,9,-3.61,-40,44,0.2,5,4,-2,1,W
15,08ae5cd9aef7ddd3,Kimo Leopoldo,63b65af1c5cb02cb,Ken Shamrock,b63e800c18e011b5,UFC 8: David vs Goliath,813.8368417,815.3357782,2,3,-0.71,37,-2.18,-9,3.61,40,-44,-0.2,-5,-4,2,-1,L
16,271fe91f4ba9d2c5,Don Frye,fbbde91f7bc2d3c5,Gary Goodridge,b63e800c18e011b5,UFC 8: David vs Goliath,750,750,-2,0,1.03,8,1.43,-11,0.51,-43,-8,-0.1,-2,-11,-1,9,W
17,fbbde91f7bc2d3c5,Gary Goodridge,271fe91f4ba9d2c5,Don Frye,b63e800c18e011b5,UFC 8: David vs Goliath,750,750,2,0,-1.03,-8,-1.43,11,-0.51,43,8,0.1,2,11,1,-9,L
18,21b8a0f5c231096f,Mark Coleman,fbbde91f7bc2d3c5,Gary Goodridge,aee8eecfc4bfb1e7,UFC 10: The Tournament,750,750,-2,0,0.04,-4,0.48,-8,3.49,-60,-3,0,2,-6,2,8,W
19,fbbde91f7bc2d3c5,Gary Goodridge,21b8a0f5c231096f,Mark Coleman,aee8eecfc4bfb1e7,UFC 10: The Tournament,750,750,2,0,-0.04,4,-0.48,8,-3.49,60,3,0,-2,6,-2,-8,L
20,21b8a0f5c231096f,Mark Coleman,271fe91f4ba9d2c5,Don Frye,aee8eecfc4bfb1e7,UFC 10: The Tournament,766,766,0,0,-0.99,-12,-0.95,3,2.98,-17,5,0.1,4,5,3,-1,W
21,271fe91f4ba9d2c5,Don Frye,21b8a0f5c231096f,Mark Coleman,aee8eecfc4bfb1e7,UFC 10: The Tournament,766,766,0,0,0.99,12,0.95,-3,-2.98,17,-5,-0.1,-4,-5,-3,1,L
22,271fe91f4ba9d2c5,Don Frye,fbbde91f7bc2d3c5,Gary Goodridge,9b5b5a75523728f3,UFC - Ultimate Ultimate '96,766,766,-2,0,1.03,8,1.43,-11,0.51,-43,-8,-0.1,-2,-11,-1,9,W
23,fbbde91f7bc2d3c5,Gary Goodridge,271fe91f4ba9d2c5,Don Frye,9b5b5a75523728f3,UFC - Ultimate Ultimate '96,766,766,2,0,-1.03,-8,-1.43,11,-0.51,43,8,0.1,2,11,1,-9,L
24,271fe91f4ba9d2c5,Don Frye,b361180739bed4b0,David Abbott,9b5b5a75523728f3,UFC - Ultimate Ultimate '96,782,750,1,0,1.52,34,0.02,-1,-0.16,24,-21,0.7,4,-8,3,12,W
25,b361180739bed4b0,David Abbott,271fe91f4ba9d2c5,Don Frye,9b5b5a75523728f3,UFC - Ultimate Ultimate '96,750,782,-1,0,-1.52,-34,-0.02,1,0.16,-24,21,-0.7,-4,8,-3,-12,L
26,0ee783aa00e468f0,Vitor Belfort,1dab0d1d81dd06db,Tra Telligman,96eff1a628adcc7f,UFC 12: Judgement Day,750,750,-2,-1,-0.24,11,-0.19,-6,0.15,-40,-27,0.6,22,9,1,13,W
27,1dab0d1d81dd06db,Tra Telligman,0ee783aa00e468f0,Vitor Belfort,96eff1a628adcc7f,UFC 12: Judgement Day,750,750,2,1,0.24,-11,0.19,6,-0.15,40,27,-0.6,-22,-9,-1,-13,L
28,946f341df6472ee0,Guy Mezger,2f732dd9210d301f,Tito Ortiz,5bd533d50c8e7b8a,UFC 13: The Ultimate Force,750,750,-2,1.9047619,-0.29,-14,-1.52,12,-2.08,15,34,-0.6,-7,-4,2,-3,W
29,2f732dd9210d301f,Tito Ortiz,946f341df6472ee0,Guy Mezger,5bd533d50c8e7b8a,UFC 13: The Ultimate Force,750,750,2,-1.9047619,0.29,14,1.52,-12,2.08,-15,-34,0.6,7,4,-2,3,L
30,0ee783aa00e468f0,Vitor Belfort,b361180739bed4b0,David Abbott,5bd533d50c8e7b8a,UFC 13: The Ultimate Force,766,750,0,-1,0.24,16,-0.72,12,-0.05,27,-13,0.6,16,1,6,15,W
31,b361180739bed4b0,David Abbott,0ee783aa00e468f0,Vitor Belfort,5bd533d50c8e7b8a,UFC 13: The Ultimate Force,750,766,0,1,-0.24,-16,0.72,-12,0.05,-27,13,-0.6,-16,-1,-6,-15,L
32,a7b48e18ca27795d,Mark Kerr,f348d05403fad037,Dan Bobish,dc950d59dc590aca,UFC 14: Showdown,750,750,1,0,-1.78,-3,-0.85,-6,0.48,35,0,-1.2,9,1,-1,8,W
33,f348d05403fad037,Dan Bobish,a7b48e18ca27795d,Mark Kerr,dc950d59dc590aca,UFC 14: Showdown,750,750,-1,0,1.78,3,0.85,6,-0.48,-35,0,1.2,-9,-1,1,-8,L
34,33e33d51f289d2a1,Maurice Smith,21b8a0f5c231096f,Mark Coleman,dc950d59dc590aca,UFC 14: Showdown,750,782,1,0,-1.47,-6,-2.15,20,-3,10,-30,0.1,-10,-7,2,-3,W
35,21b8a0f5c231096f,Mark Coleman,33e33d51f289d2a1,Maurice Smith,dc950d59dc590aca,UFC 14: Showdown,782,750,-1,0,1.47,6,2.15,-20,3,-10,30,-0.1,10,7,-2,3,L
36,0aa92558424ced9e,Randy Couture,0ee783aa00e468f0,Vitor Belfort,07a18ae55dfc3cd9,UFC 15: Collision Course,750,781.2636932,1,1,1.26,11,-1.3,9,1.76,-14,5,-0.1,-8,-5,0,-3,W
37,0ee783aa00e468f0,Vitor Belfort,0aa92558424ced9e,Randy Couture,07a18ae55dfc3cd9,UFC 15: Collision Course,781.2636932,750,-1,-1,-1.26,-11,1.3,-9,-1.76,14,-5,0.1,8,5,0,3,L
38,33e33d51f289d2a1,Maurice Smith,b361180739bed4b0,David Abbott,07a18ae55dfc3cd9,UFC 15: Collision Course,767.4695015,781.2636932,2,0,-0.94,16,-3.08,22,-0.18,17,-46,0.9,-2,-10,8,8,W
39,b361180739bed4b0,David Abbott,33e33d51f289d2a1,Maurice Smith,07a18ae55dfc3cd9,UFC 15: Collision Course,781.2636932,767.4695015,-2,0,0.94,-16,3.08,-22,0.18,-17,46,-0.9,2,10,-8,-8,L
40,0aa92558424ced9e,Randy Couture,33e33d51f289d2a1,Maurice Smith,29f935654825331b,UFC - Ultimate Japan,767.4358729,784.104414,-1,0,2.44,11,1.06,-1,1.89,-4,38,-0.4,10,6,-2,4,W
41,33e33d51f289d2a1,Maurice Smith,0aa92558424ced9e,Randy Couture,29f935654825331b,UFC - Ultimate Japan,784.104414,767.4358729,1,0,-2.44,-11,-1.06,1,-1.89,4,-38,0.4,-10,-6,2,-4,L
42,cedfdf8d423d500c,Pat Miletich,b19fc66613dc75b9,Chris Brennan,749685d24e2cac50,UFC 16: Battle in the Bayou,750,750,2,0,1.19,5,0.69,13,1.96,100,29,-1.1,5,-2,1,7,W
43,b19fc66613dc75b9,Chris Brennan,cedfdf8d423d500c,Pat Miletich,749685d24e2cac50,UFC 16: Battle in the Bayou,750,750,-2,0,-1.19,-5,-0.69,-13,-1.96,-100,-29,1.1,-5,2,-1,-7,L
44,1ccf4e7caff270df,Dan Henderson,e62b36885ecdac27,Allan Goes,4a01dc8376736ef5,UFC 17: Redemption,750,750,-1,-1.9047619,1.8,-5,1.35,10,-0.23,12,57,-2.3,25,12,1,13,W
45,e62b36885ecdac27,Allan Goes,1ccf4e7caff270df,Dan Henderson,4a01dc8376736ef5,UFC 17: Redemption,750,750,1,1.9047619,-1.8,5,-1.35,-10,0.23,-12,-57,2.3,-25,-12,-1,-13,L
46,429e7d3725852ce9,Royce Gracie,63b65af1c5cb02cb,Ken Shamrock,6420efac0578988b,UFC 1: The Beginning,750,750,0,3,-0.59,-5,-3.17,-2,-0.94,-60,22,-1.7,5,-7,5,12,W
47,63b65af1c5cb02cb,Ken Shamrock,429e7d3725852ce9,Royce Gracie,6420efac0578988b,UFC 1: The Beginning,750,750,0,-3,0.59,5,3.17,2,0.94,60,-22,1.7,-5,7,-5,-12,L
48,429e7d3725852ce9,Royce Gracie,08ae5cd9aef7ddd3,Kimo Leopoldo,1a49e0670dfaca31,UFC 3: The American Dream,766,750,-2,0,0.12,-42,-0.99,7,-4.55,-100,66,-1.5,10,-3,3,13,W
49,08ae5cd9aef7ddd3,Kimo Leopoldo,429e7d3725852ce9,Royce Gracie,1a49e0670dfaca31,UFC 3: The American Dream,750,766,2,0,-0.12,42,0.99,-7,4.55,100,-66,1.5,-10,3,-3,-13,L
50,63b65af1c5cb02cb,Ken Shamrock,429e7d3725852ce9,Royce Gracie,dedc3bb440d09554,UFC 5: The Return of the Beast,766,781.2636932,0,-3,0.59,5,3.17,2,0.94,60,-22,1.7,-5,7,-5,-12,W
51,429e7d3725852ce9,Royce Gracie,63b65af1c5cb02cb,Ken Shamrock,dedc3bb440d09554,UFC 5: The Return of the Beast,781.2636932,766,0,3,-0.59,-5,-3.17,-2,-0.94,-60,22,-1.7,5,-7,5,12,L
52,63b65af1c5cb02cb,Ken Shamrock,08ae5cd9aef7ddd3,Kimo Leopoldo,b63e800c18e011b5,UFC 8: David vs Goliath,782.7024672,781.2636932,-2,-3,0.71,-37,2.18,9,-3.61,-40,44,0.2,5,4,-2,1,W
53,08ae5cd9aef7ddd3,Kimo Leopoldo,63b65af1c5cb02cb,Ken Shamrock,b63e800c18e011b5,UFC 8: David vs Goliath,781.2636932,782.7024672,2,3,-0.71,37,-2.18,-9,3.61,40,-44,-0.2,-5,-4,2,-1,L
54,271fe91f4ba9d2c5,Don Frye,fbbde91f7bc2d3c5,Gary Goodridge,b63e800c18e011b5,UFC 8: David vs Goliath,782.7024672,781.2636932,-2,0,1.03,8,1.43,-11,0.51,-43,-8,-0.1,-2,-11,-1,9,W
55,fbbde91f7bc2d3c5,Gary Goodridge,271fe91f4ba9d2c5,Don Frye,b63e800c18e011b5,UFC 8: David vs Goliath,781.2636932,782.7024672,2,0,-1.03,-8,-1.43,11,-0.51,43,8,0.1,2,11,1,-9,L
56,21b8a0f5c231096f,Mark Coleman,fbbde91f7bc2d3c5,Gary Goodridge,aee8eecfc4bfb1e7,UFC 10: The Tournament,782.7024672,781.2636932,-2,0,0.04,-4,0.48,-8,3.49,-60,-3,0,2,-6,2,8,W
57,fbbde91f7bc2d3c5,Gary Goodridge,21b8a0f5c231096f,Mark Coleman,aee8eecfc4bfb1e7,UFC 10: The Tournament,781.2636932,782.7024672,2,0,-0.04,4,-0.48,8,-3.49,60,3,0,-2,6,-2,-8,L
58,21b8a0f5c231096f,Mark Coleman,271fe91f4ba9d2c5,Don Frye,aee8eecfc4bfb1e7,UFC 10: The Tournament,798.6362096,798.6362096,0,0,-0.99,-12,-0.95,3,2.98,-17,5,0.1,4,5,3,-1,W
59,271fe91f4ba9d2c5,Don Frye,21b8a0f5c231096f,Mark Coleman,aee8eecfc4bfb1e7,UFC 10: The Tournament,798.6362096,798.6362096,0,0,0.99,12,0.95,-3,-2.98,17,-5,-0.1,-4,-5,-3,1,L
60,271fe91f4ba9d2c5,Don Frye,fbbde91f7bc2d3c5,Gary Goodridge,9b5b5a75523728f3,UFC - Ultimate Ultimate '96,798.6362096,798.6362096,-2,0,1.03,8,1.43,-11,0.51,-43,-8,-0.1,-2,-11,-1,9,W
61,fbbde91f7bc2d3c5,Gary Goodridge,271fe91f4ba9d2c5,Don Frye,9b5b5a75523728f3,UFC - Ultimate Ultimate '96,798.6362096,798.6362096,2,0,-1.03,-8,-1.43,11,-0.51,43,8,0.1,2,11,1,-9,L
62,271fe91f4ba9d2c5,Don Frye,b361180739bed4b0,David Abbott,9b5b5a75523728f3,UFC - Ultimate Ultimate '96,814.6362096,798.6362096,1,0,1.52,34,0.02,-1,-0.16,24,-21,0.7,4,-8,3,12,W
63,b361180739bed4b0,David Abbott,271fe91f4ba9d2c5,Don Frye,9b5b5a75523728f3,UFC - Ultimate Ultimate '96,798.6362096,814.6362096,-1,0,-1.52,-34,-0.02,1,0.16,-24,21,-0.7,-4,8,-3,-12,L
64,0ee783aa00e468f0,Vitor Belfort,1dab0d1d81dd06db,Tra Telligman,96eff1a628adcc7f,UFC 12: Judgement Day,814.6362096,798.6362096,-2,-1,-0.24,11,-0.19,-6,0.15,-40,-27,0.6,22,9,1,13,W
65,1dab0d1d81dd06db,Tra Telligman,0ee783aa00e468f0,Vitor Belfort,96eff1a628adcc7f,UFC 12: Judgement Day,798.6362096,814.6362096,2,1,0.24,-11,0.19,6,-0.15,40,27,-0.6,-22,-9,-1,-13,L
66,946f341df6472ee0,Guy Mezger,2f732dd9210d301f,Tito Ortiz,5bd533d50c8e7b8a,UFC 13: The Ultimate Force,814.6362096,798.6362096,-2,1.9047619,-0.29,-14,-1.52,12,-2.08,15,34,-0.6,-7,-4,2,-3,W
67,2f732dd9210d301f,Tito Ortiz,946f341df6472ee0,Guy Mezger,5bd533d50c8e7b8a,UFC 13: The Ultimate Force,798.6362096,814.6362096,2,-1.9047619,0.29,14,1.52,-12,2.08,-15,-34,0.6,7,4,-2,3,L
68,0ee783aa00e468f0,Vitor Belfort,b361180739bed4b0,David Abbott,5bd533d50c8e7b8a,UFC 13: The Ultimate Force,829.8999028,798.6362096,0,-1,0.24,16,-0.72,12,-0.05,27,-13,0.6,16,1,6,15,W
69,b361180739bed4b0,David Abbott,0ee783aa00e468f0,Vitor Belfort,5bd533d50c8e7b8a,UFC 13: The Ultimate Force,798.6362096,829.8999028,0,1,-0.24,-16,0.72,-12,0.05,-27,13,-0.6,-16,-1,-6,-15,L
70,a7b48e18ca27795d,Mark Kerr,f348d05403fad037,Dan Bobish,dc950d59dc590aca,UFC 14: Showdown,829.8999028,798.6362096,1,0,-1.78,-3,-0.85,-6,0.48,35,0,-1.2,9,1,-1,8,W
71,f348d05403fad037,Dan Bobish,a7b48e18ca27795d,Mark Kerr,dc950d59dc590aca,UFC 14: Showdown,798.6362096,829.8999028,-1,0,1.78,3,0.85,6,-0.48,-35,0,1.2,-9,-1,1,-8,L
72,33e33d51f289d2a1,Maurice Smith,21b8a0f5c231096f,Mark Coleman,dc950d59dc590aca,UFC 14: Showdown,829.8999028,814.6362096,1,0,-1.47,-6,-2.15,20,-3,10,-30,0.1,-10,-7,2,-3,W
73,21b8a0f5c231096f,Mark Coleman,33e33d51f289d2a1,Maurice Smith,dc950d59dc590aca,UFC 14: Showdown,814.6362096,829.8999028,-1,0,1.47,6,2.15,-20,3,-10,30,-0.1,10,7,-2,3,L
74,0aa92558424ced9e,Randy Couture,0ee783aa00e468f0,Vitor Belfort,07a18ae55dfc3cd9,UFC 15: Collision Course,829.8999028,844.4640299,1,1,1.26,11,-1.3,9,1.76,-14,5,-0.1,-8,-5,0,-3,W
75,0ee783aa00e468f0,Vitor Belfort,0aa92558424ced9e,Randy Couture,07a18ae55dfc3cd9,UFC 15: Collision Course,844.4640299,829.8999028,-1,-1,-1.26,-11,1.3,-9,-1.76,14,-5,0.1,8,5,0,3,L
76,33e33d51f289d2a1,Maurice Smith,b361180739bed4b0,David Abbott,07a18ae55dfc3cd9,UFC 15: Collision Course,845.1974356,844.4640299,2,0,-0.94,16,-3.08,22,-0.18,17,-46,0.9,-2,-10,8,8,W
77,b361180739bed4b0,David Abbott,33e33d51f289d2a1,Maurice Smith,07a18ae55dfc3cd9,UFC 15: Collision Course,844.4640299,845.1974356,-2,0,0.94,-16,3.08,-22,0.18,-17,46,-0.9,2,10,-8,-8,L
78,0aa92558424ced9e,Randy Couture,33e33d51f289d2a1,Maurice Smith,29f935654825331b,UFC - Ultimate Japan,846.570213,861.1636611,-1,0,2.44,11,1.06,-1,1.89,-4,38,-0.4,10,6,-2,4,W
79,33e33d51f289d2a1,Maurice Smith,0aa92558424ced9e,Randy Couture,29f935654825331b,UFC - Ultimate Japan,861.1636611,846.570213,1,0,-2.44,-11,-1.06,1,-1.89,4,-38,0.4,-10,-6,2,-4,L
80,cedfdf8d423d500c,Pat Miletich,b19fc66613dc75b9,Chris Brennan,749685d24e2cac50,UFC 16: Battle in the Bayou,846.570213,861.1636611,2,0,1.19,5,0.69,13,1.96,100,29,-1.1,5,-2,1,7,W
81,b19fc66613dc75b9,Chris Brennan,cedfdf8d423d500c,Pat Miletich,749685d24e2cac50,UFC 16: Battle in the Bayou,861.1636611,846.570213,-2,0,-1.19,-5,-0.69,-13,-1.96,-100,-29,1.1,-5,2,-1,-7,L
82,1ccf4e7caff270df,Dan Henderson,e62b36885ecdac27,Allan Goes,4a01dc8376736ef5,UFC 17: Redemption,846.570213,861.1636611,-1,-1.9047619,1.8,-5,1.35,10,-0.23,12,57,-2.3,25,12,1,13,W
83,e62b36885ecdac27,Allan Goes,1ccf4e7caff270df,Dan Henderson,4a01dc8376736ef5,UFC 17: Redemption,861.1636611,846.570213,1,1.9047619,-1.8,5,-1.35,-10,0.23,-12,-57,2.3,-25,-12,-1,-13,L
84,1ccf4e7caff270df,Dan Henderson,952f6fa06f25a0ec,Carlos Newton,4a01dc8376736ef5,UFC 17: Redemption,863.2418712,750,2,-1,1.79,6,1.15,7,-0.95,-18,14,-0.6,19,7,2,12,W
85,952f6fa06f25a0ec,Carlos Newton,1ccf4e7caff270df,Dan Henderson,4a01dc8376736ef5,UFC 17: Redemption,750,863.2418712,-2,1,-1.79,-6,-1.15,-7,0.95,18,-14,0.6,-19,-7,-2,-12,L
86,6291ac0a3726732f,Pete Williams,21b8a0f5c231096f,Mark Coleman,4a01dc8376736ef5,UFC 17: Redemption,750,814.6362096,2,0,-1.27,10,0.15,0,-2.05,0,-34,0.1,-13,-5,-3,-8,W
87,21b8a0f5c231096f,Mark Coleman,6291ac0a3726732f,Pete Williams,4a01dc8376736ef5,UFC 17: Redemption,814.6362096,750,-2,0,1.27,-10,-0.15,0,2.05,0,34,-0.1,13,5,3,8,L
88,fcaae0385b514f11,Frank Shamrock,8d26912cd2aeb366,Jeremy Horn,4a01dc8376736ef5,UFC 17: Redemption,750,750,-3,1,3.56,14,2.67,2,-1.48,12,8,0,-1,-5,1,4,W
89,8d26912cd2aeb366,Jeremy Horn,fcaae0385b514f11,Frank Shamrock,4a01dc8376736ef5,UFC 17: Redemption,750,750,3,-1,-3.56,-14,-2.67,-2,1.48,-12,-8,0,1,5,-1,-4,L
90,dc950d59dc590aca,Ebenezer Fontes Braga,8d26912cd2aeb366,Jeremy Horn,32a3025d5db456ae,UFC - Ultimate Brazil,750,750,-1,1.9047619,1.23,11,-1.57,16,-1.83,-38,61,-0.5,-7,-5,2,-2,W
91,8d26912cd2aeb366,Jeremy Horn,dc950d59dc590aca,Ebenezer Fontes Braga,32a3025d5db456ae,UFC - Ultimate Brazil,750,750,1,-1.9047619,-1.23,-11,1.57,-16,1.83,38,-61,0.5,7,5,-2,2,L
92,b44f39a5c6596953,Pedro Rizzo,b361180739bed4b0,David Abbott,32a3025d5db456ae,UFC - Ultimate Brazil,750,750,1,0,0.58,4,-0.53,12,-0.81,-5,12,0,1,-4,3,5,W
93,b361180739bed4b0,David Abbott,b44f39a5c6596953,Pedro Rizzo,32a3025d5db456ae,UFC - Ultimate Brazil,750,750,-1,0,-0.58,-4,0.53,-12,0.81,5,-12,0,-1,4,-3,-5,L
94,0ee783aa00e468f0,Vitor Belfort,a1f6999fe57236e0,Wanderlei Silva,32a3025d5db456ae,UFC - Ultimate Brazil,844.4640299,750,1,0,-1.2,6,0.64,-10,0.05,7,-9,0,-3,3,-2,-6,W
95,a1f6999fe57236e0,Wanderlei Silva,0ee783aa00e468f0,Vitor Belfort,32a3025d5db456ae,UFC - Ultimate Brazil,750,844.4640299,-1,0,1.2,-6,-0.64,10,-0.05,-7,9,0,3,-3,2,6,L
96,b44f39a5c6596953,Pedro Rizzo,21b8a0f5c231096f,Mark Coleman,c9bbf1a0285a8076,UFC 18: The Road to the Heavyweight Title,766,814.6362096,0,0,0.05,-18,0.4,10,-3.63,-12,28,-0.8,-7,-1,-3,-6,W
97,21b8a0f5c231096f,Mark Coleman,b44f39a5c6596953,Pedro Rizzo,c9bbf1a0285a8076,UFC 18: The Road to the Heavyweight Title,814.6362096,766,0,0,-0.05,18,-0.4,-10,3.63,12,-28,0.8,7,1,3,6,L
98,cedfdf8d423d500c,Pat Miletich,c8cca8f3de5be4b4,Jorge Patino,c9bbf1a0285a8076,UFC 18: The Road to the Heavyweight Title,863.2418712,750,2,0,0.46,15,-1.48,10,1.42,75,4,1,8,-1,2,9,W
99,c8cca8f3de5be4b4,Jorge Patino,cedfdf8d423d500c,Pat Miletich,c9bbf1a0285a8076,UFC 18: The Road to the Heavyweight Title,750,863.2418712,-2,0,-0.46,-15,1.48,-10,-1.42,-75,-4,-1,-8,1,-2,-9,L
100,6859f67468ba8489,Kevin Randleman,33e33d51f289d2a1,Maurice Smith,a220be6d41d6f97d,UFC 19: Ultimate Young Guns,750,861.1636611,-4,0.9047619,0.85,8,0.65,-3,1.11,6,10,-0.1,2,9,-8,-7,W
101,33e33d51f289d2a1,Maurice Smith,6859f67468ba8489,Kevin Randleman,a220be6d41d6f97d,UFC 19: Ultimate Young Guns,861.1636611,750,4,-0.9047619,-0.85,-8,-0.65,3,-1.11,-6,-10,0.1,-2,-9,8,7,L
102,8d26912cd2aeb366,Jeremy Horn,a390eb8a9b2df298,Chuck Liddell,a220be6d41d6f97d,UFC 19: Ultimate Young Guns,750,750,-1,-2,-1.78,4,-0.72,-1,1.39,-37,-52,1.1,-9,0,0,-9,W
103,a390eb8a9b2df298,Chuck Liddell,8d26912cd2aeb366,Jeremy Horn,a220be6d41d6f97d,UFC 19: Ultimate Young Guns,750,750,1,2,1.78,-4,0.72,1,-1.39,37,52,-1.1,9,0,0,9,L
104,2f732dd9210d301f,Tito Ortiz,946f341df6472ee0,Guy Mezger,a220be6d41d6f97d,UFC 19: Ultimate Young Guns,750,829.8999028,2,-1.9047619,0.29,14,1.52,-12,2.08,-15,-34,0.6,7,4,-2,3,W
105,946f341df6472ee0,Guy Mezger,2f732dd9210d301f,Tito Ortiz,a220be6d41d6f97d,UFC 19: Ultimate Young Guns,829.8999028,750,-2,1.9047619,-0.29,-14,-1.52,12,-2.08,15,34,-0.6,-7,-4,2,-3,L
106,b44f39a5c6596953,Pedro Rizzo,1dab0d1d81dd06db,Tra Telligman,a7b48e18ca27795d,UFC 20: Battle for the Gold,784.2252636,829.8999028,-1,0,0.1,-1,0,-6,-0.61,-72,-2,0,7,4,-2,3,W
107,1dab0d1d81dd06db,Tra Telligman,b44f39a5c6596953,Pedro Rizzo,a7b48e18ca27795d,UFC 20: Battle for the Gold,829.8999028,784.2252636,1,0,-0.1,1,0,6,0.61,72,2,0,-7,-4,2,-3,L
108,03688dc3c3af3ac1,Bas Rutten,6859f67468ba8489,Kevin Randleman,a7b48e18ca27795d,UFC 20: Battle for the Gold,750,770.9514559,3,0,4.33,7,0.94,22,-2,-56,-30,-0.8,-5,-12,10,7,W
109,6859f67468ba8489,Kevin Randleman,03688dc3c3af3ac1,Bas Rutten,a7b48e18ca27795d,UFC 20: Battle for the Gold,770.9514559,750,-3,0,-4.33,-7,-0.94,-22,2,56,30,0.8,5,12,-10,-7,L
110,8d26912cd2aeb366,Jeremy Horn,4f74c8be51db8a37,Daiju Takase,1a1a4d7a29041d77,UFC 21: Return of the Champions,766,750,1,-1,0.7,9,0.35,8,0.99,21,8,-0.1,5,2,-2,3,W
111,4f74c8be51db8a37,Daiju Takase,8d26912cd2aeb366,Jeremy Horn,1a1a4d7a29041d77,UFC 21: Return of the Champions,750,766,-1,1,-0.7,-9,-0.35,-8,-0.99,-21,-8,0.1,-5,-2,2,-3,L
112,fcaae0385b514f11,Frank Shamrock,2f732dd9210d301f,Tito Ortiz,afaad7d6a581e307,UFC 22: Only One Can be Champion,766,769.6160043,-5,1,2.16,7,1.78,-3,-2.12,15,-17,0.5,-7,-8,1,1,W
